Time,Wavelength,Power
2024-06-19T12:52:13.260,1530.72506,-33.2,0
2024-06-19T12:52:16.302,1531.10043,-33.0,0
2024-06-19T12:52:16.556,1531.10521,-33.4,0
2024-06-19T12:52:16.784,1531.10849,-33.1,0
2024-06-19T12:52:17.026,1531.11624,-33.0,0
2024-06-19T12:52:17.275,1531.11895,-32.9,0
2024-06-19T12:52:17.505,1531.11884,-33.4,0
2024-06-19T12:52:17.753,1531.11818,-33.2,0
2024-06-19T12:52:17.983,1531.11865,-33.2,0
2024-06-19T12:52:18.246,1531.11801,-33.2,0
2024-06-19T12:52:18.470,1531.11769,-33.4,0
2024-06-19T12:52:18.715,1531.11685,-33.3,0
2024-06-19T12:52:18.956,1531.11735,-33.2,0
2024-06-19T12:52:19.215,1531.11750,-33.6,0
2024-06-19T12:52:19.440,1531.11702,-33.3,0
2024-06-19T12:52:19.680,1531.11627,-33.4,0
2024-06-19T12:52:19.928,1531.11642,-33.4,0
2024-06-19T12:52:20.160,1531.11597,-33.4,0
2024-06-19T12:52:20.409,1531.11550,-33.6,0
2024-06-19T12:52:20.652,1531.11582,-33.7,0
2024-06-19T12:52:20.921,1531.11573,-33.5,0
2024-06-19T12:52:21.151,1531.11558,-33.4,0
2024-06-19T12:52:21.403,1531.11535,-33.6,0
2024-06-19T12:52:21.630,1531.11539,-33.8,0
2024-06-19T12:52:21.891,1531.11575,-33.8,0
2024-06-19T12:52:22.114,1531.11589,-33.8,0
2024-06-19T12:52:22.361,1531.11619,-33.9,0
2024-06-19T12:52:22.602,1531.11647,-33.6,0
2024-06-19T12:52:22.858,1531.11631,-33.8,0
2024-06-19T12:52:23.086,1531.11639,-33.9,0
2024-06-19T12:52:23.326,1531.11637,-34.0,0
2024-06-19T12:52:24.794,1531.46747,-34.9,0
2024-06-19T12:52:25.066,1531.50754,-33.0,0
2024-06-19T12:52:25.321,1531.50801,-33.0,0
2024-06-19T12:52:25.575,1531.50676,-33.1,0
2024-06-19T12:52:25.812,1531.50593,-32.8,0
2024-06-19T12:52:26.062,1531.50533,-33.1,0
2024-06-19T12:52:26.302,1531.50562,-33.0,0
2024-06-19T12:52:26.550,1531.50566,-33.0,0
2024-06-19T12:52:26.780,1531.50549,-33.0,0
2024-06-19T12:52:27.026,1531.50562,-33.2,0
2024-06-19T12:52:27.258,1531.50580,-33.1,0
2024-06-19T12:52:27.518,1531.50608,-33.2,0
2024-06-19T12:52:27.745,1531.50589,-33.2,0
2024-06-19T12:52:27.989,1531.50584,-33.3,0
2024-06-19T12:52:28.231,1531.50675,-33.3,0
2024-06-19T12:52:28.488,1531.50687,-33.2,0
2024-06-19T12:52:28.714,1531.50634,-33.2,0
2024-06-19T12:52:28.956,1531.50626,-33.3,0
2024-06-19T12:52:29.200,1531.50682,-33.3,0
2024-06-19T12:52:29.430,1531.50675,-33.5,0
2024-06-19T12:52:29.674,1531.50679,-33.2,0
2024-06-19T12:52:29.902,1531.50660,-33.4,0
2024-06-19T12:52:30.161,1531.50611,-33.4,0
2024-06-19T12:52:30.386,1531.50641,-33.6,0
2024-06-19T12:52:30.627,1531.50639,-33.5,0
2024-06-19T12:52:30.873,1531.50674,-33.5,0
2024-06-19T12:52:31.136,1531.50664,-33.8,0
2024-06-19T12:52:31.372,1531.50684,-33.6,0
2024-06-19T12:52:31.605,1531.50693,-33.6,0
2024-06-19T12:52:31.860,1531.50659,-33.7,0
2024-06-19T12:52:32.090,1531.50657,-33.7,0
2024-06-19T12:52:32.332,1531.50659,-33.9,0
2024-06-19T12:52:32.559,1531.50691,-33.9,0
2024-06-19T12:52:32.821,1531.50735,-33.9,0
2024-06-19T12:52:33.045,1531.50609,-33.8,0
2024-06-19T12:52:33.289,1531.50631,-33.8,0
2024-06-19T12:52:35.325,1531.90717,-32.5,0
2024-06-19T12:52:35.583,1531.89974,-32.6,0
2024-06-19T12:52:35.837,1531.89919,-32.4,0
2024-06-19T12:52:36.067,1531.89860,-32.6,0
2024-06-19T12:52:36.317,1531.89724,-32.6,0
2024-06-19T12:52:36.548,1531.89707,-32.6,0
2024-06-19T12:52:36.812,1531.89728,-32.7,0
2024-06-19T12:52:37.034,1531.89689,-33.0,0
2024-06-19T12:52:37.286,1531.89649,-32.5,0
2024-06-19T12:52:37.521,1531.89668,-32.8,0
2024-06-19T12:52:37.780,1531.89691,-32.8,0
2024-06-19T12:52:38.008,1531.89679,-32.9,0
2024-06-19T12:52:38.249,1531.89688,-32.8,0
2024-06-19T12:52:38.496,1531.89711,-33.0,0
2024-06-19T12:52:38.740,1531.89777,-33.1,0
2024-06-19T12:52:38.978,1531.89749,-33.0,0
2024-06-19T12:52:39.233,1531.89807,-32.9,0
2024-06-19T12:52:39.489,1531.89780,-32.9,0
2024-06-19T12:52:39.725,1531.89743,-33.0,0
2024-06-19T12:52:39.974,1531.89771,-33.0,0
2024-06-19T12:52:40.215,1531.89832,-33.1,0
2024-06-19T12:52:40.465,1531.89883,-33.3,0
2024-06-19T12:52:40.693,1531.89821,-33.1,0
2024-06-19T12:52:40.941,1531.89789,-33.3,0
2024-06-19T12:52:41.175,1531.89823,-33.3,0
2024-06-19T12:52:41.456,1531.89830,-33.2,0
2024-06-19T12:52:41.685,1531.89756,-33.3,0
2024-06-19T12:52:41.933,1531.89760,-33.2,0
2024-06-19T12:52:42.163,1531.89805,-33.3,0
2024-06-19T12:52:42.421,1531.89837,-33.4,0
2024-06-19T12:52:42.646,1531.89849,-33.3,0
2024-06-19T12:52:42.888,1531.89824,-33.5,0
2024-06-19T12:52:43.132,1531.89845,-33.6,0
2024-06-19T12:52:45.411,1532.27527,-33.4,0
2024-06-19T12:52:45.643,1532.27403,-32.8,0
2024-06-19T12:52:45.892,1532.27951,-32.7,0
2024-06-19T12:52:46.131,1532.28212,-32.8,0
2024-06-19T12:52:46.388,1532.28961,-32.8,0
2024-06-19T12:52:46.616,1532.29198,-32.8,0
2024-06-19T12:52:46.858,1532.29152,-32.7,0
2024-06-19T12:52:47.106,1532.29176,-32.8,0
2024-06-19T12:52:47.336,1532.29166,-32.9,0
2024-06-19T12:52:47.588,1532.29093,-33.0,0
2024-06-19T12:52:47.817,1532.29097,-32.9,0
2024-06-19T12:52:48.081,1532.29048,-33.0,0
2024-06-19T12:52:48.307,1532.28989,-33.0,0
2024-06-19T12:52:48.555,1532.29059,-33.0,0
2024-06-19T12:52:48.789,1532.29044,-33.0,0
2024-06-19T12:52:49.042,1532.28960,-33.0,0
2024-06-19T12:52:49.270,1532.28904,-33.1,0
2024-06-19T12:52:49.510,1532.28872,-33.1,0
2024-06-19T12:52:49.757,1532.28873,-33.1,0
2024-06-19T12:52:49.986,1532.28840,-33.2,0
2024-06-19T12:52:50.234,1532.28838,-33.2,0
2024-06-19T12:52:50.460,1532.28849,-33.1,0
2024-06-19T12:52:50.722,1532.28847,-33.3,0
2024-06-19T12:52:50.941,1532.28788,-33.2,0
2024-06-19T12:52:51.185,1532.28893,-33.3,0
2024-06-19T12:52:51.427,1532.28922,-33.4,0
2024-06-19T12:52:51.705,1532.28913,-33.4,0
2024-06-19T12:52:51.933,1532.28858,-33.5,0
2024-06-19T12:52:52.176,1532.28930,-33.4,0
2024-06-19T12:52:52.420,1532.28943,-33.6,0
2024-06-19T12:52:52.673,1532.28927,-33.6,0
2024-06-19T12:52:52.902,1532.28896,-33.7,0
2024-06-19T12:52:53.145,1532.28890,-33.7,0
2024-06-19T12:52:53.396,1532.28910,-33.6,0
