Time,Wavelength,Power
2024-06-19T13:52:56.411,1529.16351,-30.6,1529.16344
2024-06-19T13:52:56.652,1529.16351,-30.8,1529.16350
2024-06-19T13:52:56.886,1529.16352,-30.7,1529.16351
2024-06-19T13:52:57.134,1529.16373,-30.6,1529.16352
2024-06-19T13:52:57.361,1529.16389,-30.8,1529.16373
2024-06-19T13:52:57.608,1529.16303,-30.8,1529.16388
2024-06-19T13:52:57.844,1529.16374,-30.9,1529.16303
2024-06-19T13:52:59.906,1529.56931,-29.9,1529.56202
2024-06-19T13:53:00.154,1529.55355,-29.8,1529.56932
2024-06-19T13:53:00.405,1529.55394,-29.8,1529.55355
2024-06-19T13:53:00.640,1529.55273,-29.9,1529.55394
2024-06-19T13:53:00.882,1529.55269,-30.0,1529.55273
2024-06-19T13:53:01.124,1529.55247,-30.0,1529.55269
2024-06-19T13:53:01.360,1529.55177,-30.0,1529.55247
2024-06-19T13:53:01.598,1529.55166,-30.1,1529.55177
2024-06-19T13:53:01.843,1529.55157,-30.0,1529.55166
2024-06-19T13:53:02.094,1529.55185,-29.9,1529.55157
2024-06-19T13:53:02.324,1529.55199,-30.1,1529.55185
2024-06-19T13:53:02.575,1529.55188,-30.1,1529.55199
2024-06-19T13:53:02.807,1529.55200,-30.1,1529.55188
2024-06-19T13:53:03.069,1529.55238,-30.2,1529.55200
2024-06-19T13:53:03.295,1529.55214,-30.2,1529.55238
2024-06-19T13:53:03.544,1529.55296,-30.2,1529.55214
2024-06-19T13:53:03.785,1529.55328,-30.2,1529.55296
2024-06-19T13:53:04.042,1529.55322,-30.2,1529.55328
2024-06-19T13:53:04.270,1529.55322,-30.2,1529.55322
2024-06-19T13:53:04.504,1529.55323,-30.3,1529.55322
2024-06-19T13:53:04.749,1529.55304,-30.3,1529.55323
2024-06-19T13:53:04.978,1529.55301,-30.3,1527.40078
2024-06-19T13:53:05.226,1529.55314,-30.3,1529.55301
2024-06-19T13:53:05.457,1529.55310,-30.4,1527.41661
2024-06-19T13:53:05.710,1529.55360,-30.4,1529.55311
2024-06-19T13:53:05.937,1529.55322,-30.4,1529.55360
2024-06-19T13:53:06.182,1529.55281,-30.5,1529.55322
2024-06-19T13:53:06.423,1529.55324,-30.5,1529.55281
2024-06-19T13:53:06.673,1529.55348,-30.5,1529.55325
2024-06-19T13:53:06.907,1529.55318,-30.5,1529.55348
2024-06-19T13:53:07.147,1529.55287,-30.6,1529.55318
2024-06-19T13:53:07.396,1529.55335,-30.6,1529.55288
