Time,Wavelength,Power
2024-06-19T13:23:28.024,1529.16437,-31.6,1529.16371
2024-06-19T13:23:28.254,1529.16350,-31.5,1529.16436
2024-06-19T13:23:28.505,1529.16281,-31.5,1529.16349
2024-06-19T13:23:28.733,1529.16333,-31.5,1529.16281
2024-06-19T13:23:28.996,1529.16307,-31.5,1529.16333
2024-06-19T13:23:29.221,1529.16239,-31.6,1529.16306
2024-06-19T13:23:29.471,1529.16272,-31.7,1529.16239
2024-06-19T13:23:29.707,1529.16286,-31.6,1529.16272
2024-06-19T13:23:29.968,1529.16252,-31.6,1529.16285
2024-06-19T13:23:30.194,1529.16268,-31.7,1529.16252
2024-06-19T13:23:30.433,1529.16266,-31.8,1529.16268
2024-06-19T13:23:30.692,1529.16263,-31.7,1529.16266
2024-06-19T13:23:30.952,1529.16350,-31.8,1529.16263
2024-06-19T13:23:31.180,1529.16335,-31.8,1529.16350
2024-06-19T13:23:31.421,1529.16327,-31.9,1529.16334
2024-06-19T13:23:31.664,1529.16358,-31.8,1529.16326
2024-06-19T13:23:31.895,1529.16364,-31.8,1529.16358
2024-06-19T13:23:32.138,1529.16351,-31.9,1529.16364
2024-06-19T13:23:32.367,1529.16404,-31.8,1529.16350
2024-06-19T13:23:32.629,1529.16414,-32.0,1529.16404
2024-06-19T13:23:32.851,1529.16372,-31.9,1529.16413
2024-06-19T13:23:33.097,1529.16371,-32.0,1529.16372
2024-06-19T13:23:33.332,1529.16390,-32.0,1529.16370
2024-06-19T13:23:33.587,1529.16406,-32.1,1529.16390
2024-06-19T13:23:33.815,1529.16355,-32.0,1529.16406
2024-06-19T13:23:34.055,1529.16351,-32.2,1529.16355
2024-06-19T13:23:34.305,1529.16407,-32.1,1529.16351
2024-06-19T13:23:34.535,1529.16383,-32.2,1529.16407
2024-06-19T13:23:34.785,1529.16394,-32.2,1529.16383
2024-06-19T13:23:35.016,1529.16403,-32.2,1529.16394
2024-06-19T13:23:35.280,1529.16372,-32.2,1529.16403
2024-06-19T13:23:35.503,1529.16383,-32.1,1529.16371
2024-06-19T13:23:35.751,1529.16375,-32.3,1529.16383
2024-06-19T13:23:38.071,1529.56086,-31.5,1529.56908
2024-06-19T13:23:38.313,1529.55467,-31.4,1529.56086
2024-06-19T13:23:38.574,1529.55353,-31.5,1529.55467
2024-06-19T13:23:38.795,1529.55270,-31.5,1529.55353
2024-06-19T13:23:39.037,1529.55276,-31.5,1529.55270
2024-06-19T13:23:39.300,1529.55271,-31.6,1529.55276
2024-06-19T13:23:39.558,1529.55167,-31.6,1529.55271
2024-06-19T13:23:39.785,1529.55162,-31.5,1529.55167
2024-06-19T13:23:40.026,1529.55192,-31.5,1529.55162
2024-06-19T13:23:40.274,1529.55236,-31.7,1529.55192
2024-06-19T13:23:40.506,1529.55207,-31.7,1529.55236
2024-06-19T13:23:40.754,1529.55199,-31.7,1529.55207
2024-06-19T13:23:41.011,1529.55240,-31.7,1529.55200
2024-06-19T13:23:41.263,1529.55260,-31.8,1529.55240
2024-06-19T13:23:41.495,1529.55291,-31.7,1529.55261
2024-06-19T13:23:41.745,1529.55335,-31.7,1529.55291
2024-06-19T13:23:41.990,1529.55362,-31.6,1529.55335
2024-06-19T13:23:42.239,1529.55372,-31.7,1529.55362
2024-06-19T13:23:42.467,1529.55332,-31.9,1529.55372
2024-06-19T13:23:42.714,1529.55284,-31.9,1529.55332
2024-06-19T13:23:42.946,1529.55324,-31.8,1529.55283
2024-06-19T13:23:43.207,1529.55339,-32.0,1529.55324
2024-06-19T13:23:43.432,1529.55301,-32.0,1529.55339
2024-06-19T13:23:43.682,1529.55283,-32.0,1529.55302
2024-06-19T13:23:43.923,1529.55314,-32.0,1529.55283
2024-06-19T13:23:44.179,1529.55347,-32.1,1529.55314
2024-06-19T13:23:44.407,1529.55308,-32.1,1529.55347
2024-06-19T13:23:44.645,1529.55321,-32.3,1529.55308
2024-06-19T13:23:44.893,1529.55343,-32.3,1529.55321
2024-06-19T13:23:45.123,1529.55286,-32.4,1529.55343
2024-06-19T13:23:45.375,1529.55280,-32.4,1529.55286
2024-06-19T13:23:45.604,1529.55338,-32.4,1529.55280
2024-06-19T13:23:45.866,1529.55296,-32.3,1529.55338
2024-06-19T13:23:48.266,1529.92922,-31.3,1529.92619
2024-06-19T13:23:48.515,1529.93197,-31.3,1529.92922
2024-06-19T13:23:48.740,1529.93514,-31.3,1529.93197
2024-06-19T13:23:48.989,1529.94181,-31.4,1529.93513
2024-06-19T13:23:49.224,1529.94588,-31.5,1529.94182
2024-06-19T13:23:49.483,1529.94588,-31.5,1529.94588
2024-06-19T13:23:49.702,1529.94564,-31.5,1529.94588
2024-06-19T13:23:49.942,1529.94555,-31.5,1529.94564
2024-06-19T13:23:50.189,1529.94503,-31.6,1529.94555
2024-06-19T13:23:50.421,1529.94485,-31.6,1529.94503
2024-06-19T13:23:50.670,1529.94471,-31.6,1529.94485
2024-06-19T13:23:50.902,1529.94490,-31.7,1529.94472
2024-06-19T13:23:51.162,1529.94514,-31.7,1529.94491
2024-06-19T13:23:51.414,1529.94438,-31.6,1529.94514
2024-06-19T13:23:51.665,1529.94362,-31.7,1529.94438
2024-06-19T13:23:51.895,1529.94376,-31.7,1529.94363
2024-06-19T13:23:52.156,1529.94299,-31.7,1529.94376
2024-06-19T13:23:52.384,1529.94286,-31.8,1529.94299
2024-06-19T13:23:52.633,1529.94286,-31.8,1529.94286
2024-06-19T13:23:52.863,1529.94288,-31.8,1529.94287
2024-06-19T13:23:53.118,1529.94255,-31.8,1529.94289
2024-06-19T13:23:53.343,1529.94215,-31.8,1529.94256
2024-06-19T13:23:53.584,1529.94277,-31.9,1529.94216
2024-06-19T13:23:53.831,1529.94309,-32.0,1529.94278
2024-06-19T13:23:54.064,1529.94287,-32.0,1529.94309
2024-06-19T13:23:54.333,1529.94246,-32.0,1529.94288
2024-06-19T13:23:54.575,1529.94346,-32.1,1529.94247
2024-06-19T13:23:54.821,1529.94353,-32.1,1529.94347
2024-06-19T13:23:55.046,1529.94310,-32.1,1529.94353
2024-06-19T13:23:55.296,1529.94292,-32.1,1529.94311
2024-06-19T13:23:55.536,1529.94290,-32.1,1529.94293
2024-06-19T13:23:55.785,1529.94347,-32.2,1529.94291
2024-06-19T13:23:57.782,1530.33348,-31.3,0
2024-06-19T13:23:58.008,1530.33401,-31.2,1530.33349
2024-06-19T13:23:58.257,1530.33317,-31.2,1530.33402
2024-06-19T13:23:58.489,1530.33343,-31.1,1530.33316
2024-06-19T13:23:58.748,1530.33339,-31.2,1530.33345
2024-06-19T13:23:58.970,1530.33301,-31.3,1530.33340
2024-06-19T13:23:59.211,1530.33252,-31.3,1530.33300
2024-06-19T13:23:59.456,1530.33267,-31.3,1530.33251
2024-06-19T13:23:59.706,1530.33308,-31.3,1530.33266
2024-06-19T13:23:59.934,1530.33280,-31.3,1530.33307
2024-06-19T13:24:00.176,1530.33256,-31.4,1530.33279
2024-06-19T13:24:00.425,1530.33285,-31.4,1530.33255
2024-06-19T13:24:00.649,1530.33294,-31.4,1530.33284
2024-06-19T13:24:00.893,1530.33277,-31.4,1530.33293
2024-06-19T13:24:01.128,1530.33338,-31.5,1530.33276
2024-06-19T13:24:01.389,1530.33352,-31.5,1530.33339
2024-06-19T13:24:01.621,1530.33367,-31.6,1530.33354
2024-06-19T13:24:01.887,1530.33364,-31.6,1530.33366
2024-06-19T13:24:02.121,1530.33387,-31.6,1530.33362
2024-06-19T13:24:02.379,1530.33381,-31.6,1530.33388
2024-06-19T13:24:02.607,1530.33361,-31.7,1530.33382
2024-06-19T13:24:02.848,1530.33308,-31.7,1530.33360
2024-06-19T13:24:03.094,1530.33335,-31.7,1530.33307
2024-06-19T13:24:03.341,1530.33391,-31.8,1530.33337
2024-06-19T13:24:03.577,1530.33348,-31.8,1530.33392
2024-06-19T13:24:03.818,1530.33327,-31.8,1530.33346
2024-06-19T13:24:04.070,1530.33325,-31.9,1530.33326
2024-06-19T13:24:04.299,1530.33318,-31.9,1530.33324
2024-06-19T13:24:04.540,1530.33389,-32.0,1530.33317
2024-06-19T13:24:04.774,1530.33406,-32.0,1530.33390
2024-06-19T13:24:05.029,1530.33377,-32.0,1530.33407
2024-06-19T13:24:05.255,1530.33367,-32.0,1530.33378
2024-06-19T13:24:05.497,1530.33364,-32.0,1530.33366
2024-06-19T13:24:05.743,1530.33364,-31.9,1530.33362
2024-06-19T13:24:06.463,1530.72802,-36.7,1530.72821
2024-06-19T13:24:09.885,1530.73961,-34.5,1530.30695
2024-06-19T13:24:10.118,1530.73994,-31.3,1530.73665
2024-06-19T13:24:10.372,1530.72448,-31.2,1530.73994
2024-06-19T13:24:10.618,1530.72542,-31.2,1530.72448
2024-06-19T13:24:10.854,1530.72410,-31.2,1530.72541
2024-06-19T13:24:11.097,1530.72396,-31.3,1530.72410
2024-06-19T13:24:11.345,1530.72372,-31.3,1530.72396
2024-06-19T13:24:11.575,1530.72339,-31.3,1530.72372
2024-06-19T13:24:11.823,1530.72360,-31.3,1530.72339
2024-06-19T13:24:12.079,1530.72387,-31.3,1530.72360
2024-06-19T13:24:12.338,1530.72378,-31.3,1530.72386
2024-06-19T13:24:12.566,1530.72356,-31.3,1530.72378
2024-06-19T13:24:12.817,1530.72326,-31.4,1530.72356
2024-06-19T13:24:13.048,1530.72369,-31.4,1530.72326
2024-06-19T13:24:13.309,1530.72388,-31.5,1530.72369
2024-06-19T13:24:13.534,1530.72384,-31.5,1530.72388
2024-06-19T13:24:13.782,1530.72427,-31.5,1530.72384
2024-06-19T13:24:14.022,1530.72493,-31.5,1530.72427
2024-06-19T13:24:14.272,1530.72520,-31.5,1530.72493
2024-06-19T13:24:14.496,1530.72474,-31.5,1530.72520
2024-06-19T13:24:14.735,1530.72485,-31.6,1530.72473
2024-06-19T13:24:14.985,1530.72535,-31.6,1530.72485
2024-06-19T13:24:15.215,1530.72484,-31.6,1530.72535
2024-06-19T13:24:15.463,1530.72452,-31.7,1530.72483
2024-06-19T13:24:15.692,1530.72495,-31.7,1530.72452
2024-06-19T13:24:15.953,1530.72518,-31.7,1530.72495
2024-06-19T13:24:18.692,1531.10081,-33.8,0
2024-06-19T13:24:18.969,1531.10143,-31.7,1531.10563
