Timestamp,Instrument Wavelength,Instrument Intensity,
2024-06-13T15:27:50.982,1532.11468,-37.56961951,
2024-06-13T15:27:51.272,1532.11053,-36.43974143,
2024-06-13T15:27:51.529,1551.31384,-32.47951552,
2024-06-13T15:27:51.808,1551.31721,-31.23782159,
2024-06-13T15:27:52.044,1551.32059,-31.28427064,
2024-06-13T15:27:52.292,1551.31992,-31.30181792,
2024-06-13T15:27:52.524,1551.32021,-31.25518182,
2024-06-13T15:27:52.784,1551.32056,-31.19186408,
2024-06-13T15:27:53.017,1551.31991,-31.22628654,
2024-06-13T15:27:53.258,1551.31964,-31.25518182,
2024-06-13T15:27:53.469,1551.31886,-31.22053048,
2024-06-13T15:27:53.703,1551.31864,-31.28427064,
2024-06-13T15:27:53.938,1551.31683,-35.12861625,
2024-06-13T15:27:54.149,1529.84707,-37.56961951,
2024-06-13T15:27:54.368,1530.31809,-37.47146969,
2024-06-13T15:27:54.601,1532.11537,-37.28158393,
2024-06-13T15:27:54.826,1532.11493,-37.61953897,
2024-06-13T15:27:55.049,1532.1148,-37.61953897,
2024-06-13T15:27:55.294,1532.11471,-37.54487332,
2024-06-13T15:27:55.534,1532.11481,-37.47146969,
2024-06-13T15:27:55.796,1532.11445,-37.3754891,
2024-06-13T15:27:56.032,1530.9625,-37.42321425,
2024-06-13T15:27:56.319,1532.11333,-36.51695137,
2024-06-13T15:27:56.594,1532.11379,-35.96879479,
2024-06-13T15:27:56.818,1551.72863,-31.96542884,
2024-06-13T15:27:57.061,1551.72011,-31.88424994,
2024-06-13T15:27:57.308,1551.72162,-31.92464972,
2024-06-13T15:27:57.569,1551.72014,-31.89767482,
2024-06-13T15:27:57.800,1551.71967,-31.9314197,
2024-06-13T15:27:58.037,1551.71943,-31.91114133,
2024-06-13T15:27:58.284,1551.71939,-31.90440285,
2024-06-13T15:27:58.510,1551.71894,-31.94499142,
2024-06-13T15:27:58.769,1551.7192,-32.04119983,
2024-06-13T15:27:59.000,1551.71749,-35.73488739,
2024-06-13T15:27:59.257,1530.31895,-37.56961951,
2024-06-13T15:27:59.487,1530.31835,-37.52026734,
2024-06-13T15:27:59.763,1532.11484,-37.49579998,
2024-06-13T15:28:00.023,1532.11455,-37.49579998,
2024-06-13T15:28:00.297,1532.11453,-37.52026734,
2024-06-13T15:28:00.561,1532.11478,-37.28158393,
2024-06-13T15:28:00.833,1552.14178,-32.47183569,
2024-06-13T15:28:01.073,1552.1278,-32.36572006,
2024-06-13T15:28:01.316,1552.12351,-32.43363892,
2024-06-13T15:28:01.587,1552.12218,-32.58848401,
2024-06-13T15:28:01.825,1552.12111,-32.47951552,
2024-06-13T15:28:02.078,1552.12126,-32.69217724,
2024-06-13T15:28:02.322,1552.12159,-32.54144805,
2024-06-13T15:28:02.573,1552.12126,-32.48720896,
2024-06-13T15:28:02.800,1552.12053,-32.58060922,
2024-06-13T15:28:03.054,1552.12163,-32.56490235,
2024-06-13T15:28:03.304,1552.12169,-32.43363892,
2024-06-13T15:28:03.536,1552.12164,-32.6760624,
2024-06-13T15:28:03.781,1552.12104,-32.76544328,
2024-06-13T15:28:04.023,1552.12088,-36.28932138,
2024-06-13T15:28:04.275,1530.31212,-37.74690718,
2024-06-13T15:28:04.505,1530.31797,-37.72113295,
2024-06-13T15:28:04.779,1530.3182,-37.59450752,
2024-06-13T15:28:05.035,1530.08406,-37.39928612,
2024-06-13T15:28:05.300,1530.31705,-37.44727495,
2024-06-13T15:28:06.393,1530.31843,-37.61953897,
2024-06-13T15:28:06.684,1530.31783,-37.64471553,
2024-06-13T15:28:06.960,1530.31763,-37.44727495,
2024-06-13T15:28:07.242,1552.52138,-34.10050399,
2024-06-13T15:28:07.565,1552.5261,-32.27678293,
2024-06-13T15:28:07.818,1552.52565,-32.30622674,
2024-06-13T15:28:08.076,1552.52576,-32.25483034,
2024-06-13T15:28:08.347,1552.52514,-32.23298816,
2024-06-13T15:28:08.623,1552.52466,-32.33587153,
2024-06-13T15:28:08.899,1552.52424,-32.32102384,
